"Name"	"Strain"
"Stappia marina"	"mano18"
"Bacillus salarius"	"BH169"
"Carboxydocella sporoproducens"	"Kar"
"Hahella ganghwensis"	"FR1050T"
"Sporacetigenium mesophilum"	"ZLJ115"
"Marinicola seohaensis"	"SW-152T"
"Streptococcus massiliensis"	"4401825"
"Bacillus alkalitelluris"	"BA288"
"Exiguobacterium soli"	"DVS 3Y"
"Williamsia marianensis"	"MT8"
"Deinococcus ficus"	"CC-FR2-10"
"Amycolatopsis halotolerans"	"N4-6"
"Donghaeana dokdonensis"	"DSW-6"
"Deinococcus aquaticus"	"PB314"
"Halococcus hamlinensis"	"100A6"
"Kocuria aegyptia"	"YIM 70003"
"Stenothermobacter  spongiae"	" UST030701-156"
"Amorphus coralli"	"RS.Sph.026"
"Halorubrum ezzemoulense"	"5.1"
"Algoriphagus terrigena"	"DS-44"
"Croceitalea eckloniae"	"DOKDO 025"
"Georgenia ruanii"	"YIM 004T "
"Nocardia ninae"	"OFN 02.72T"
"Tepidicella xavieri"	"TU-16"
"Rheinheimera chironomi"	"K19414T"
"Methylocystis hirsuta"	"CSC1T"
"Pelagibius litoralis"	"CL-UU02T"
"Nocardioides marinus"	"CL-DD14T "
"Paenibacillus  fonticola"	"ZLT"
"Parapedobacter koreensis"	"Jip14T"
"Proteiniclasticum ruminis"	"D3RC-2"
"Devosia insulae"	"DS-56T"
"Chryseobacterium daeguense"	" K105T "
"Caenispirillum bisanense"	"K92T "
"Pseudonocardia carboxydivorans"	"Y8"
"Rhizobium borbori"	"DN316T"
"Pelagicola litoralis"	"CL-ES2"
"Caldanaerobacter uzonensis"	"K67"
"Algoriphagus jejuensis"	"CNU040"
"Devosia crocina"	"IPL20T"
"Chelativorans Chelativorans multitrophicus"	"DSM 9103"
"Nocardioides mesophilus"	"MSL-22"
"Microbacterium kribbense"	"MSL-04"
"Frigoribacterium mesophilum"	"MSL-08"
"Phycicoccus bigeumensis"	"MSL-03"
"Phycicoccus aerophilus"	"5516T-20"
"Halomonas salifodinae"	"BC7"
"Sphingomonas  Sphingomonas histidinilytica"	"UM2"
"Fervidicoccus fontis"	"Kam940"
"Ammonifex thiophilus"	"SR"
"Sporolactobacillus vineae"	"SL153"
"Chryseobacterium soli"	"JS6-6"
"Lentibacillus salinarum"	"AHS-1"
"Microbacterium profundi"	"Shh49"
"Nesterenkonia flava"	"CAAS 251"
"Lactococcus chungangensis"	"CAU 28"
"Rhodocytophaga  aerolata"	"5416T-29"
"Devriesea agamarum"	"IMP2"
"Saccharibacillus sacchari"	"GR21"
"Thalassospira Thalassospira xianhensis"	"P-4"
"Phenylobacterium composti"	"4T-6"
"Deinococcus wulumuqiensis"	"R12"
"Sphingobium  qiguonii"	"X23"
"Pseudomonas taiwanensis"	"CMS"
"Brevundimonas basaltis"	"J22"
"Vibrio areninigrae"	"J74"
"Shewanella basaltis"	"J83"
"Tamlana agarivorans"	"JW-26"
"Meiothermus  Meiothermus cateniformans"	"LY1"
"Dyadobacter alkalitolerans"	"12116T"
"Pseudidiomarina tainanensis"	"PIN1T"
"Thermodesulfatator atlanticus"	"AT1325"
"Muriicola jejuensis"	"EM44"
"Terrabacter aeriphilus"	"5414T-18"
"Oceanicola nitratireducens"	"JLT1210"
"Deinococcus xinjiangensis"	"X-82T"
"Frateuria terrea"	"Frateuria terrea"
"Dethiosulfovibrio Dethiosulfovibrio salsuginis"	"USBA 82"
"Kaistia Kaistia terrae"	"5YN7-3"
"Mameliella Mameliella alba"	"JLT354-W"
"Rhodovulum  Rhodovulum steppense"	"A-20s"
"Paenibacillus glacialis"	"KFC91"
"Clostridium arbusti"	"SL206"
"Oceanobacillus locisalsi"	"CHL-21"
"Microbacterium ginsengiterrae"	"DCY37"
"Microbacterium lindanitolerans"	"MNA2"
"Staphylococcus microti"	"4005-LJ(m)"
"Cohnella thailandensis"	"S1-3"
"Pontibacter xinjiangensis"	"311-10"
"Aeromicrobium halocynthiae"	"KME 001"
"Siphonobacter aquaeclarae"	"P2"
"Aeromonas taiwanensis"	"A2-50"
"Allobacillus halotolerans"	"B3AT"
"Terrimonas aquatica"	"RIB1-6"
"Endozoicomonas Endozoicomonas montiporae"	"CL-33"
"Virgibacillus byunsanensis"	"ISL-24"
"Meridianimaribacter flavus"	"NH57N"
"Sphingobium faniae"	"JZ-2"
"Pseudoruegeria  Pseudoruegeria lutimaris"	"HD-43"
"Terribacillus aidingensis"	"YI7-61"
"Pseudoalteromonas lipolytica"	"LMEB 39"
"Micrococcus terreus"	"V3M1"
"Agrococcus terreus"	"DNG5"
"Thermolongibacillus Thermolongibacillus kozakliensis"	"E173a"
"Alkalibaculum bacchi"	"CP11"
"Prauserella flava"	"YIM 90630T"
"Prauserella flava"	"YIM 90630T"
"Prauserella sediminis"	"YIM 90694T"
"Dongia mobilis"	"LM22"
"Streptomyces iranensis"	"HM 35"
"Mesorhizobium  Mesorhizobium alhagi"	" CCNWXJ12-2"
"Pseudoclavibacter chungangensis"	"CAU 59"
"Amycolatopsis xylanica"	"CPCC 202699"
"Nautilia  Nautilia nitratireducens"	"MB-1"
"Granulosicoccus  Granulosicoccus coccoides"	"Z 271"
"Haloterrigena daqingensis"	"JX313"
"Shewanella xiamenensis"	"S4"
"Sphingopyxis soli"	"BL03"
"Acidovorax soli"	"BL21"
"Rhodanobacter  soli"	"DCY45"
"Kocuria atrinae"	"P30"
"Actinomyces hominis"	"1094"
"Erythrobacter nanhaisediminis"	"T30"
"Kushneria sinocarnis"	"Z35"
"Bizionia Bizionia echini"	"KMM 6177"
"Pseudidiomarina aestuarii"	"KYW314"
"Nocardia callitridis"	"CAP290"
"Cellulosibacter Alkalithermophilus"	"A6"
"Prevotella saccharolytica"	" D033B-12-2"
"Roseivivax  Roseivivax lentus"	"S5-5"
"Olleya Olleya aquimaris"	"L-4"
"Vibrio casei"	"WS 4539"
"Vibrio casei"	"WS 4539"
"Massilia jejuensis"	"5317J-18"
"Dactylosporangium luteum"	"BK51"
"Amorphus orientalis"	"YIM D10"
"Caldithrix palaeochoryensis"	"MC"
"Alicyclobacillus aeris"	"ZJ-6T"
"Marichromatium Marichromatium fluminis"	"JA418"
"Actinomadura scrupuli"	"R-Ac121"
"Moraxella porci"	"SN9-4M"
"Pseudofulvimonas  gallinarii"	"Sa15"
"Paenochrobactrum gallinarii"	"Sa25"
"Cecembia lonarensis"	"LW9"
"Haliea mediterranea"	"7SM29"
"Chryseobacterium arthrosphaerae"	"CC-VM-7"
"Streptomyces tacrolimicus"	"ATCC 55098T"
"Camelimonas lactis"	"M 2040"
"Cupriavidus pampae"	"CPDB6"
"Methylocapsa aurea"	"KYG"
"Tenacibaculum dicentrarchi"	"35/09"
"Euzebyella  saccharophila"	"7SM30"
"Microlunatus parietis"	"12-Be-011"
"Rhodopseudomonas harwoodiae"	"JA531"
"Lactobacillus gigeriorum"	"202"
"Fulvivirga imtechensis"	"AK7"
"Streptomyces herbaceus"	"BK119"
"Tropicibacter multivorans"	"MD5"
"Rhodovulum bhavnagarense"	"JA738"
"Defluviitoga tunisiensis"	"SulfLac1"
"Pusillimonas soli"	"MJ07"
"Candidimonas bauzanensis"	"BZ59"
"Candidimonas bauzanensis"	"BZ59"
"Haloechinothrix alba"	"YIM 93221"
"Microvirga  aerophila"	"5420S-12"
"Photobacterium jeanii"	"R-40508"
"Pseudorhodobacter Aquimaris"	"HDW-19"
"Brevibacterium  salitolerans"	"TRM 415"
"Gaetbulibacter aestuarii"	"KYW382"
"Methanospirillum Methanospirillum stamsii"	"Pt1"
"Streptococcus dentisani"	"7747T"
"Streptococcus Streptococcus dentisani"	"7746"
"Sphingomonas laterariae"	"LNB2"
"Kribbella Amoyensis"	"XMU 198"
"Mucilaginibacter polysacchareus"	"DRP28"
"Bacillus iranensis"	"X5B"
"Nocardioides lianchengensis"	"D94-1"
"Gryllotalpicola daejeonensis"	"RU-04"
"Roseovarius halocynthiae"	"MA1-10"
"Xenorhabdus magdalenensis"	"IMI 397775"
"Plasticicumulans lactativorans"	"YD"
"Salinibacillus Salinibacillus xinjiangensis"	"J4"
"Cohnella lupini"	"RLAHU4BT"
"Mycobacterium paragordonae"	"49061T"
"Tetragenococcus osmophilus"	"T1"
"Candida cellulosicola"	"HNX16-2"
"Halomonas ventosae"	"A|12T"
"Mitsuaria chitosanitabida"	"3001T"
"Pseudoxanthomonas japonensis"	"12-3T"
"Pseudoxanthomonas japonensis"	"12-3T"
"Williamsia maris"	"SJS0289/JS1T"
"Zimmermannella alba"	"IAM 14724T"
"Zimmermannella faecalis"	"IAM 15030T"
"Leucobacter albus"	"IAM 14851T"
"Zimmermannella bifida"	"IAM 14848T"
"Sphingomonas oligophenolica"	"S213T"
"Thermodesulfovibrio  aggregans"	"TGE-P1"
"Thauera butanivorans"	"Bu-B1211T "
"Phaseolibacter flectens"	"ATCC 12775"
"Streptomyces scabrisporus"	"KM-4927T"
"Hydrogenibacillus schlegelii"	"DSM 2000"
"Hydrogenibacillus schlegelii"	"DSM 2000"
"Bacillus hemicellulosilyticus"	"C-11T"
"Bacillus wakoensis"	"N-1T"
"Bacillus mannanilyticus"	" AM-001T"
"Sulfuricurvum kujiense"	"YK-1T"
"Cupriavidus laharis"	"1263a"
"Roseibacterium elongatum"	"Och 323"
"Roseibacterium elongatum"	"OCh 323"
"Prevotella  copri"	"CB7T"
"Arthrobacter russicus"	"A1-3T"
"Rothia aeria"	"A1-17BT"
"Rhodococcus baikonurensis"	"A1-22T"
"Brevundimonas nasdae"	"W1-2BT"
"Sphingomonas yabuuchiae"	"A1-18T"
"Agarivorans albus"	"MKT106T"
"Prevotella paludivivens"	"KB7T"
"Paludibacter propionicigenes"	"WB4"
"Sphingosinicella microcystinivorans"	"Y2"
"Pseudozobellia thermophila"	"KMM 3531T"
"Deinococcus  Deinococcus aetherius"	"ST0316"
"Deinococcus aetherius"	"ST0316"
"Deinococcus aerius"	"TR0125T"
"Rhodoplanes serenus"	"TUT3530T"
"Planifilum fulgidum"	"500275T"
"Planifilum fimeticola"	"H0165T"
"Sulfurovum lithotrophicum"	"42BKTT"
"Nocardia inohanensis"	"IFM 0092T"
"Nocardia niigatensis"	"IFM 0330T"
"Nocardia yamanashiensis"	"IFM 0265T"
"Nocardia asiatica"	"IFM0245T"
"Herbasprillum chlorophenolicum"	"CPW301T"
"Colwellia piezophila"	"Y223GT"
"Psychromonas hadalis"	"K41GT"
"Shewanella surugensis"	"c959"
"Shewanella abyssi"	"c941"
"Tonsilliphilus suis"	"W254"
"Marinospirillum  insulare"	"KT"
"Bacillus vietnamesis"	"15-1T"
"Cellulophaga pacifica "	"KMM3664T"
"Catellibacterium nectariphilum"	"AST4T"
"Gemmobacter nectariphilus"	"AST4"
"Asaia Krungthepensis"	"AA08T"
"Cupriavidus numazuensis"	"TE26"
"Hydrogenimonas  thermophila"	"EP1-55-1%T"
"Chromohalobacter japonicus"	"43T"
"Exiguobacterium oxidotolerans"	"T-2-2T"
"Tepidanaerobacter syntrophicus"	"JL"
"Micromonospora eburnea"	" LK2-10T"
"Actinocatenispora  thailandica"	"TT2-10"
"Cerasibacillus quisquiliarum"	" BLxT"
"Nocardia shimofusensis"	"IFM10311T"
"Nocardia higoensis"	"IFM10084T"
"Nocardia araoensis"	"IFM0575T"
"Nocardia pneumoniae"	"IFM0784T"
"Prevotella  shahii"	"EHS11T"
"Prevotella  salivae"	"EPSA11T"
"Bacillus asahii"	"MA001T"
"Anaerolinea   thermolimosa"	"IMO-1"
"Leptolinea tardivitalis"	"YMTK-2"
"Levilinea saccharolytica"	"KIBI-1"
"Anoxybacillus voinovskiensis"	"TH13T"
"Saccharibacter floricola"	"S-877T"
"Dyella japonica"	" XD53T"
"Desulfoluna butyratoxydans"	"MSL71"
"Desulfopila aestuarii"	"MSL86T"
"Desulfobulbus japonicus"	"Pro1T"
"Planotetraspora silvatica"	"TT00-51T"
"Salegentibacter holothuriorum"	"KMM 3524T"
"Thiovirga sulfuroxydans"	"SO07T"
"Hydrogenivirga caldilitoris"	"IBSK3T"
"Cupriavidus pinatubonensis"	"1245"
"Jannaschia cystaugens"	"CFPB-A9T "
"Zobellia amurskyensis"	"KMM 3526T"
"Zobellia laminariae"	"KMM3676T"
"Zobellia russellii"	"KMM 3677T "
"Gordonia otitidis"	"IFM 10032T"
"Microbulbifer thermotolerans"	"JAMB A94"
"Owenweeksia hongkongensis"	"UST20020801T"
"Clostridium straminisolvens"	"CSK1T"
"Pseudomonas pachastrellae "	"KMM330T"
"Nocardia concava"	"IFM 0354T"
"Pleomorphomonas koreensis"	"Y9"
"Lentibacillus juripiscarius"	"IS40-3T"
"Pelotomaculum propionicicum"	"MGPT"
"Lactobacillus satsumensis"	"NRIC0604T"
"Nocardia takedensis"	"MS1-3T"
"Microbulbifer agarilyticus"	"JAMB A3"
"Pleomorphomonas oryzae"	"F-7T"
"Methanolinea tarda"	"NOBI-1"
"Gordonia effusa"	"IFM 10200"
"Gordonia araii"	"IFM 10211"
"Thiomicrospira thermophila"	"I78T"
"Lysobacter koreensis"	"Dae16"
"Phenylobacterium  koreense"	"Slu-01T"
"Azonexus caeni"	"Slu-05"
"Sphingomonas soli"	"T5-04"
"Stenotrophomonas koreensis"	"TR6-01"
"Cellulomonas composti"	"TR7-06T"
"Microbulbifer variabilis"	"Ni-2088T"
"Lebetimonas acidiphila"	"Pd55T"
"Thioreductor micantisoli"	"BKB25Ts-YT"
"Nitratiruptor tergarcus "	"M155-1T"
"Nitratifractor salsuginis"	"E9I37-1T"
"Methylobacterium brachiatum"	"B0021"
"Pseudovibrio ascidiaceicola"	"F423"
"Pseudovibrio ascidiaceicola"	"F423"
"Fangia hongkongensis"	"UST040201-002T"
"Myroides pelagicus"	"SM1"
"Paenibacillus hodogayensis"	"SGT"
"Catenulispora rubra"	"Aac-30T"
"Prevotella multiformis"	"PPPA21T"
"Streptoalloteichus tenebrarius"	"NBRC 16177"
"Azospirillum oryzae"	"COC8T"
"Paracoccus marinus"	"KKL-A5"
"Clostridium clariflavum"	"EBR45T"
"Lutispora thermophila"	"EBR46"
"Nocardia exalbida"	"IFM 0803"
"Paracoccus koreensis"	"Ch05T"
"Oceanobacillus oncorhynchi"	"R-2T"
"Bacillus oshimensis"	"K11T"
"Alkalibacterium  iburiense"	"M3T"
"Pseudomonas azotifigens"	"6H33bT"
"Lentibacillus halophilus"	"PS11-2"
"Terrimonas lutea"	"DY"
"Chryseobacterium shigense"	"GUM-KajiT"
"Oryzihumus leptocrescens"	"KV-628T"
"Patulibacter minatonensis"	"KV-614"
"Piscibacillus salipiscarius"	"RBU1-1T"
"Silvimonas terrae"	"KM-45T"
"Halobacillus kuroshimensis"	"IS-Hb7T "
"Methanocella paludicola"	"SANAE"
"Micromonospora chaiyaphumensis"	"MC5-1"
"Micromonospora marina"	"JSM1-1"
"Micromonospora Micromonospora marina"	"JSM1-1"
"Halolactibacillus halophilus"	"M2-2T"
"Halolactibacillus halophilus"	"M2-2T"
"Halolactibacillus miurensis"	"M23-1T"
"Gracilibacillus boraciitolerans"	"T-16XT"
"Virgibacillus salarius"	"SA-Vb1"
"Chimaereicella boritolerans"	"T-22T"
"Krokinobacter genikus"	"Cos-13"
"Krokinobacter diaphorus"	"PMA-26"
"Krokinobacter eikastus"	"PMA-26"
"Krokinobacter diaphorus"	"MSKK-32"
"Lysinibacillus boronitolerans"	"10aT "
"Bacteroides plebeius"	"M12T"
"Bacteroides coprocola"	"M16T"
"Catellatospora chokoriensis"	"2-25(1)"
"Prevotella multisaccharivorax"	" PPPA20T"
"Zoogloea oryzae"	"A-7"
"Burkholderia terrae"	"KMY02"
"Nocardia  terpenica"	"IFM 0706T"
"Shewanella kaireitica"	"c931"
"Shewanella pneumatophori"	"SCRC-2738T"
"Shewanella algidipiscicola"	"S13T"
"Shewanella glacialipiscicola"	"T147T"
"Shewanella morhuae"	"U1417"
"Sandarakinotalea sediminis"	"CKA-5"
"Sediminicola luteus"	"CNI3"
"Sharpea azabuensis"	"ST18"
"Bacteroides intestinalis"	"341"
"Sphingomonas azotifigens"	"Y39"
"Dethiosulfatibacter aminovorans"	"C/G2T"
"Clostridium caenicola"	"EBR596T"
"Bacteroides finegoldii"	"199"
"Polymorphospora rubra"	"TT 97-42"
"Thermodesulfovibrio thiophilus"	"TDV"
"Lentibacillus kapialis"	"PN7-6T"
"Hydrogenivirga okinawensis"	"LS12-2"
"Labrys okinawensis"	"MAFF 210191T"
"Labrys miyagiensis"	"G24103T"
"Oscillibacter valericigenes"	"Sjm18-20T"
"Bifidobacterium tsurumiense"	"OMB115"
"Bacteroides dorei"	"175"
"Smaragdicoccus niigatensis"	"Hou_blueT"
"Bellilinea caldifistulae"	"GOMI-1"
"Longilinea arvoryzae"	"KOME-1T"
"Terribacillus saccharophilus"	"002-048T"
"Terribacillus halophilus"	"002-051T"
"Virgibacillus halophilus"	"5B73CT"
"Halobacillus faecis"	"IGA7-4T"
"Amphibacillus sediminis"	"Shu-P-Ggiii25-2T"
"Kaistia granuli"	"Ko04T"
"Prevotella stercorea"	"CB35T"
"Solirubrobacter soli"	"Gsoil 355T"
"Dyadobacter ginsengisoli"	"Gsoil 043"
"Sphingomonas ginsengisoli"	"Gsoil 634"
"Inquilinus ginsengisoli"	"Inquilinus ginsengisoli"
"Inquilinus ginsengisoli"	"Gsoil 080"
"Inquilinus ginsengisoli"	"Gsoil 080T"
"Methylibium fulvum"	"Gsoil 322T"
"Variovorax  ginsengisoli"	"Gsoil 3165"
"Variovorax ginsengisoli"	"Gsoil 3165"
"Lysobacter panaciterrae"	"Gsoil 068T"
"Dyella ginsengisoli"	"3046T"
"Pedobacter panaciterrae"	"Gsoil 042T"
"Emticicia ginsengisoli"	"Gsoil 085"
"Chitinophaga ginsengisoli"	"Gsoil 052T"
"Paenibacillus  Paenibacillus pocheonensis"	"Gsoil 1138"
"Paenibacillus pocheonensis"	"Gsoil 1138"
"Aeromicrobium panaciterrae"	"Gsoil 161T"
"Streptomyces panacagri"	"Gsoil 519"
"Microlunatus ginsengisoli"	"Gsoil 633T"
"Kribbella gingsengisoli"	"Gsoil 001"
"Kribbella  Kribbella ginsengisoli"	"Gsoil 001"
"Aeromicrobium  ginsengisoli"	"Gsoil 098"
"Nocardioides ginsengisoli"	"G soil 1124T"
"Sulfurivirga caldicuralii"	"MM1"
"Loktanella atrilutea"	"IG8T"
"Pseudovibrio japonicus "	"WSF2T"
"Sulfurospirillum cavolei"	"Phe91T"
"Paenibacillus terrigena"	"A35T"
"Sphingomonas molluscorum"	"KMM3882T"
"Arthrobacter niigatensis"	"LC4T"
"Arthrobacter alkaliphilus"	"LC6T"
"Arthrobacter echigonensis"	" LC10T"
"Arthrobacter albidus"	"LC13T"
"Amycolatopsis echigonensis"	"LC2T"
"Amycolatopsis niigatensis"	"LC11T"
"Calditerricola satsumensis"	"YMO81T"
"Hymenobacter soli"	"PB17"
"Flammeovirga kamogawensis"	"YS10T"
"Sulfurimonas paralvinellae"	"GO25"
"Methylobacterium komagatae"	"002-079"
"Methylobacterium persicinum"	"002-165"
"Methylobacterium tardum"	"RB677"
"Paraferrimonas sedimenticola"	"Mok-106T"
"Gluconobacter japonicus"	"NBRC 3271T"
"Thermobacillus composti"	"KWC4T"
"Galbibacter mesophilus"	"Mok-17T"
"Gilvibacter sediminis"	"Mok-1-36T"
"Sediminibacter furfurosus"	"MAOS-86T"
"Sediminitomix  flava"	"Mok-1-85T "
"Ruegeria mobilis"	"MBIC01146T"
"Salinicoccus siamensis"	"PN1-2T"
"Sphingomonas sediminicola"	"Dae 20"
"Streptococcus dentirousetti"	"NUM 1303"
"Bacteroides coprophilus"	"CB42T "
"Persicobacter psychrovividus"	" Asr22-19"
"Marixanthomonas ophiurae"	"KMM 3046T"
"Parabacteroides johnsonii"	"M-165T"
"Bacillus selenatarsenatis"	"SF-1T"
"Marinitoga okinawensis"	"TFS10-5T"
"Lactobacillus farraginis"	"NRIC 0676T"
"Lactobacillus parafarraginis"	"NRIC 0677T"
"Actinocatenispora sera"	"KV-744T"
"Alicyclobacillus sacchari"	"RB718T"
"Alicyclobacillus fastidiosus"	"S-TABT"
"Alicyclobacillus kakegawensis"	"5-A83JT"
"Alicyclobacillus shizuokensis"	"4-A336T"
"Alicyclobacillus macrosporangiidus"	"5-A239-2O-AT "
"Alicyclobacillus contaminans"	"3-A191T"
"Zeaxanthinibacter enoshimensis"	"TD-ZE3T "
"Nubsella zeaxanthinifaciens"	"TDMA-5"
"Sphingomonas jaspsi"	"TDMA-16T"
"Alkalibacillus silvisoli"	"BM2T "
"Halalkalibacillus halophilus"	"BH2T"
"Desulfothermus okinawensis"	"TFISO9T"
"Bacteroides propionicifaciens"	"SV434"
"Chitinophaga ginsengisegetis"	"Gsoil 040T"
"Deinococcus aquiradiocola"	"TDMA-uv53T"
"Rapidithrix thailandica"	"TISTR 1750T"
"Paenibacillus thailandensis"	"S3-4AT"
"Paenibacillus nanensis"	"MX2-3T"
"Thalassospira tepidiphila"	"1-1B"
"Microbulbifer epialgicus"	"F-104T"
"Asaccharobacter celatus"	"do03"
"Curtobacterium ammoniigenes"	"B55T"
"Coraliomargarita akajimensis"	"04OKA010-24T"
"Clostridium sufflavum"	"CDT-1T"
"Lactobacillus hayakitensis"	"KBL13T"
"Flavisolibacter ginsengiterrae"	"Gsoil 492T"
"Flavisolibacter ginsengisoli"	"Gsoil 643T"
"Segetibacter koreensis"	"Gsoil 664T"
"Olivibacter terrae"	"Jip13"
"Olivibacter soli"	"Gsoil 034"
"Olivibacter ginsengisoli"	"Gsoil 060"
"Mucilaginibacter daejeonensis"	"Jip 10T"
"Pedobacter  composti "	"TR6-06T "
"Pedobacter daechungensis"	"Dae 13T"
"Barnesiella viscericola"	"C46T"
"Lactobacillus composti"	"NRIC 0689T "
"Alkalibacterium indicireducens"	"A11"
"Cellulomonas chitinilytica"	"X.bu-b"
"Rhodococcus kyotonensis"	"DS472T"
"Robiginitalea myxolifaciens"	"YM6-073"
"Alkalimonas collagenimarina"	"AC40T"
"Microbacterium ginsengisoli"	"Gsoil 259"
"Microlunatus panaciterrae"	"Gsoil 954"
"Nocardioides panacihumi"	"616T"
"Paenibacillus ginsengarvi"	"Gsoil 139T"
"Persicitalea jodogahamensis"	"Shu-9-SY12-35CT"
"Syntrophomonas palmitatica"	"MPAT"
"Archaeoglobus infectus"	"Arc51"
"Microbacterium hatanonis"	"FCC-01"
"Nonomuraea bangladeshensis"	"5-10-10T"
"Nonomuraea coxensis"	"5-38-42T"
"Nocardia amamiensis"	"TT 00-78T"
"Micromonospora pattaloongensis"	"TJ2-2"
"Oceanobacillus caeni"	"S-11"
"Perexilibacter aurantiacus"	"Shu-F-UV2-2T"
"Rubritalea squalenifaciens"	"HOact23T"
"Aureispira maritima"	"59SAT"
"Chitinophaga terrae"	"KP01T"
"Prevotella pleuritidis"	"GTC 3021T"
"Leptospira kmetyi"	"Bejo-Iso9T "
"Arthrobacter oryzae"	"KV-651"
"Arthrobacter humicola"	"KV-653"
"Thermosulfidibacter takaii"	"ABI70S6"
"Microterricola viridarii"	"KV-677"
"Humihabitans oryzae"	"KV-657T"
"Humibacillus xanthopallidus"	"KV-663"
"Lactobacillus Lactobacillus similis"	"JCM 2765"
"Lactobacillus similis"	"JCM 2765"
"Saccharothrix violaceirubra"	"YU692-1T"
"Salinivibrio siamensis"	"ND1-1T"
"Halobacterium piscisalsi"	"HPC1-2"
"Shinella yambaruensis"	"MS4T "
"Pelagicoccus mobilis"	"02PA-Ca-133T"
"Pelagicoccus albus"	"YM14-201T"
"Pelagicoccus litoralis"	" H-MN57T "
"Microbacterium marinilacus"	"YM11-607T"
"Microbacterium sediminicola"	"YM10-847T"
"Rhodanobacter thiooxydans"	"LCS2T"
"Lactobacillus equigenerosi"	"NRIC D697"
"Neptunomonas japonica"	"JAMM 0745"
"Sneathiella glossodoripedis"	"MKT133"
"Natrinema gari"	"HIS40-3"
"Lactobacillus  Lactobacillus equicursoris"	"D170"
"Lactobacillus equicursoris"	"DI70"
"Cerasicoccus arenae"	"YM26-026T"
"Bacillus polygoni"	"YN-1"
"Fulvibacter tottoriensis"	"MTT-39"
"Alkalibacterium thalassium"	"T117-1-2T"
"Alkalibacterium pelagium"	"T143-1-1T"
"Alkalibacterium putridalgicola"	"T129-2-1T"
"Alkalibacterium kapii"	"T22-1-2T"
"Paenibacillius siamensis"	"S5-3T"
"Paenibacillus septentrionalis"	"X13-1T"
"Paenibacillus montaniterrae"	"MXC2-2T"
"Rubritalea spongiae"	"YM21-132T"
"Rubritalea tangerina"	"YM27-005T"
"Pelagicoccus croceus"	"N5FB36-5T"
"Lactobacillus senmaizukei"	"L13"
"Bacteroides paurosaccharolyticus"	"WK042T"
"Anaerosphaera aminiphila"	"WN036T"
