"Achromobacter arsenoxydans";"Achromobacter arsenitoxydans"
"Pseudomonas aureofacians";"Pseudomonas aureofaciens"
"Pseudomonas avellenae";"Pseudomonas avellanae"
"Pseudomonas chlororaphischlororaphis";"Pseudomonas chlororaphis subsp. chlororaphis"
"Pseudomonas Oleovorans";"Pseudomonas oleovorans"
"Pseudomonas pseodoalcaligenes";"Pseudomonas pseudoalcaligenes"
"Rhizobium BTAil";"Photorhizobium thompsonianum BTAi1"
"Rhizobium hauntlense";"Neorhizobium huautlense"
"Rhodobacter ferrooxidans";"Rhodobacter sp. SW2"
"Rhodobacter sp";"Rhodobacter sp."
"Rhodococcus erytropolis";"Rhodococcus erythropolis"
"Roseibium hameliense";"Roseibium hamelinense"
"Roseobacter sp";"Roseobacter sp."
"Roseococcus thiosulfatophilum";"Roseococcus thiosulfatophilus"
"Roseococcus thiosulphatophilus";"Roseococcus thiosulfatophilus"
"Saccharopolyspora antimicrobia";"Saccharopolyspora antimicrobica"
"Salmonella Typhimurium";"Salmonella typhimurium"
"Samsonia erythinae";"Samsonia erythrinae"
"Sandariconobacter sibiricus";"Sandaracinobacter sibiricus"
"SAR11 clade";"SAR11 cluster"
"SAR86 clade";"SAR86 cluster"
"Selenomonas ruminatium";"Selenomonas ruminantium"
"Shewanella saccharophilia";"Shewanella saccharophilus"
"Shihouhao Klebsiellaoxytoca";"Klebsiella oxytoca"
"Sinomonas albidus";"Sinomonas albida"
"Sinorhizobium xinjangense";"Sinorhizobium xinjiangense"
"Sporosarcin aquimarina";"Sporosarcina aquimarina"
"Sporosarcin globispora";"Sporosarcina globispora"
"Sporosarcin koreensis";"Sporosarcina koreensis"
"Sporosarcin pasteurii";"Sporosarcina pasteurii"
"Sporosarcin psychrophila";"Sporosarcina psychrophila"
"Sporosarcin saromensis";"Sporosarcina saromensis"
"Sporosarcin soli";"Sporosarcina soli"
"Sporosarcin ureae";"Sporosarcina ureae"
"Sporosarcina psychrophilac";"Sporosarcina psychrophila"
"Staphylococcus aureusaureus";"Staphylococcus aureus subsp. aureus"
"Staphylococcus capitisurealyticus";"Staphylococcus capitis subsp. urealyticus"
"Staphylococcus cohniiurealyticus";"Staphylococcus cohnii subsp. urealyticus"
"Staphylococcus equorumlinens";"Staphylococcus equorum subsp. linens"
"Staphylococcus hominisnovobiosepticus";"Staphylococcus hominis subsp. novobiosepticus"
"Staphylococcus saprophyticusbovis";"Staphylococcus saprophyticus subsp. bovis"
"Staphylococcus schleifericoagulans";"Staphylococcus schleiferi subsp. coagulans"
"Stappia marinamano";"Stappia marina"
"Streposporangium pseudovulgare";"Streptosporangium pseudovulgare"
"Streptococcus pneumonia";"Streptococcus pneumoniae"
"Streptomyces achromogenesrubradiris";"Streptomyces achromogenes subsp. rubradiris"
"Streptosporangium yunnanenis";"Streptosporangium yunnanense"
"Sulfidobacter sp";NA
"Sulfuricella denitrifican";"Sulfuricella denitrificans"
"Sulfurococcus yellowstonensis";NA
"Tenacibaculuma litoreum";"Tenacibaculum litoreum"
"Tenacibaculuma maritimum";"Tenacibaculum maritimum"
"Tenacibaculuma ovolyticum";"Tenacibaculum ovolyticum"
"Tenacibaculuma skagerrakense";"Tenacibaculum skagerrakense"
"Thauera Azoarcus";NA
"Themoanaerobacterium calidifontis";"Thermoanaerobacterium calidifontis"
"Thennosipho melanesiensis";"Thermosipho melanesiensis"
"Thermoacetogenium phaeum";"Thermacetogenium phaeum"
"Thermoanaerobacter brockiilactiethylicus";"Thermoanaerobacter brockii subsp. lactiethylicus"
"Thermoanaerobacter mathraniimathranii";"Thermoanaerobacter mathranii subsp. mathranii"
"Thermoanaerobacter saccharolyticum";"Thermoanaerobacterium saccharolyticum"
"Thermococcus sibericus";"Thermococcus sibiricus"
"Thermodesulforhabdus narvegicus";"Thermodesulforhabdus norvegica"
"Thermotoga neopolitana";"Thermotoga neapolitana"
"Thiobacillus perometaboli";"Thiomonas perometabolis"
"Thioglobus singularis";"Candidatus Thioglobus singularis"
"Thiothrix arctophila";NA
"Treponema intracellularis";NA
"Treponema macrodentium";"Treponema microdentium"
"Treponema orale";NA
"Treponema pallidumpallidum";"Treponema pallidum subsp. pallidum"
"Treponema scoliodontus";NA
"Tropicibacter multivorans";"Epibacterium multivorans"
"Unknown";NA
"Viarovorax paradoxus";"Variovorax paradoxus"
"Vibrio harvey";"Vibrio harveyi"
"Xanthomonas arsenoxydans";"Xanthomonas sontii"
"Xanthomonas beticola";NA
"Xanthomonas citrimalvacearum";"Xanthomonas citri subsp. malvacearum"
"Xanthomonas elusinea";NA
"Xanthomonas jasminii";NA
"Xanthomonas marantae";NA
"Xanthomonas stizolobiicola";NA
