assembly_accession	taxid	species_taxid	organism_name
GCF_008726945.1	1328	1328	Streptococcus anginosus
GCF_008727075.1	1328	1328	Streptococcus anginosus
GCF_003436905.1	1328	1328	Streptococcus anginosus
GCF_015669745.1	1328	1328	Streptococcus anginosus
GCF_003934435.1	1328	1328	Streptococcus anginosus
GCF_901542375.1	1328	1328	Streptococcus anginosus
GCF_001070115.1	1328	1328	Streptococcus anginosus
GCF_001069165.1	1328	1328	Streptococcus anginosus
GCF_002999615.1	1328	1328	Streptococcus anginosus
GCF_002999485.1	1328	1328	Streptococcus anginosus
GCF_002999575.1	1328	1328	Streptococcus anginosus
GCF_015552775.1	1328	1328	Streptococcus anginosus
GCF_901875545.1	1328	1328	Streptococcus anginosus
GCF_900636475.1	1328	1328	Streptococcus anginosus
GCF_001697145.1	1328	1328	Streptococcus anginosus
GCF_003460205.1	1328	1328	Streptococcus anginosus
GCF_900096985.1	1328	1328	Streptococcus anginosus
GCF_012030555.1	1328	1328	Streptococcus anginosus
GCF_002847945.1	1328	1328	Streptococcus anginosus
GCF_012030005.1	1328	1328	Streptococcus anginosus
GCF_002999475.1	1328	1328	Streptococcus anginosus
GCF_015671415.1	1328	1328	Streptococcus anginosus
GCF_000831165.1	1328	1328	Streptococcus anginosus
GCF_008726985.1	1328	1328	Streptococcus anginosus
GCF_002999525.1	1328	1328	Streptococcus anginosus
GCF_008726965.1	1328	1328	Streptococcus anginosus
GCF_002999515.1	1328	1328	Streptococcus anginosus
GCF_008726875.1	1328	1328	Streptococcus anginosus
GCF_002999595.1	1328	1328	Streptococcus anginosus
GCF_008726835.1	1328	1328	Streptococcus anginosus
GCF_001653195.1	1484	1484	Hydrogenibacillus schlegelii
GCF_001543875.1	1484	1484	Hydrogenibacillus schlegelii
GCF_009734125.1	1584	1584	Lactobacillus delbrueckii
GCF_004211505.1	1584	1584	Lactobacillus delbrueckii
GCF_002847905.1	1584	1584	Lactobacillus delbrueckii
GCF_902374335.1	1584	1584	Lactobacillus delbrueckii
GCF_009362855.1	1584	1584	Lactobacillus delbrueckii
GCF_003034905.1	1584	1584	Lactobacillus delbrueckii
GCF_014830125.1	1584	1584	Lactobacillus delbrueckii
GCF_015377785.1	1584	1584	Lactobacillus delbrueckii
GCF_018967015.1	1584	1584	Lactobacillus delbrueckii
GCF_004211735.1	1584	1584	Lactobacillus delbrueckii
GCF_003545935.1	1584	1584	Lactobacillus delbrueckii
GCF_003610975.1	1587	1587	Lactobacillus helveticus
GCF_013281355.1	1587	1587	Lactobacillus helveticus
GCF_013280735.1	1587	1587	Lactobacillus helveticus
GCF_015698245.1	1587	1587	Lactobacillus helveticus
GCF_013281675.1	1587	1587	Lactobacillus helveticus
GCF_005864165.1	1587	1587	Lactobacillus helveticus
GCF_013280615.1	1587	1587	Lactobacillus helveticus
GCF_003053205.1	1587	1587	Lactobacillus helveticus
GCF_013281395.1	1587	1587	Lactobacillus helveticus
GCF_003203815.1	1587	1587	Lactobacillus helveticus
GCF_009498395.1	1587	1587	Lactobacillus helveticus
GCF_013249215.1	1587	1587	Lactobacillus helveticus
GCF_900248185.1	1587	1587	Lactobacillus helveticus
GCF_009881115.1	1587	1587	Lactobacillus helveticus
GCF_013281155.1	1587	1587	Lactobacillus helveticus
GCF_003955865.1	1587	1587	Lactobacillus helveticus
GCF_013280625.1	1587	1587	Lactobacillus helveticus
GCF_013281065.1	1587	1587	Lactobacillus helveticus
GCF_000961015.1	1587	1587	Lactobacillus helveticus
GCF_013280775.1	1587	1587	Lactobacillus helveticus
GCF_015698125.1	1587	1587	Lactobacillus helveticus
GCF_013281365.1	1587	1587	Lactobacillus helveticus
GCF_013281205.1	1587	1587	Lactobacillus helveticus
GCF_015698165.1	1587	1587	Lactobacillus helveticus
GCF_013280755.1	1587	1587	Lactobacillus helveticus
GCF_013281175.1	1587	1587	Lactobacillus helveticus
GCF_013281455.1	1587	1587	Lactobacillus helveticus
GCF_001895375.1	1587	1587	Lactobacillus helveticus
GCF_013281465.1	1587	1587	Lactobacillus helveticus
GCF_017565805.1	1587	1587	Lactobacillus helveticus
GCF_013281555.1	1587	1587	Lactobacillus helveticus
GCF_015698065.1	1587	1587	Lactobacillus helveticus
GCF_003204015.1	1587	1587	Lactobacillus helveticus
GCF_001006025.1	1587	1587	Lactobacillus helveticus
GCF_001572815.1	1587	1587	Lactobacillus helveticus
GCF_004114755.1	1587	1587	Lactobacillus helveticus
GCF_902386585.1	1587	1587	Lactobacillus helveticus
GCF_003203975.1	1587	1587	Lactobacillus helveticus
GCF_001702095.1	1587	1587	Lactobacillus helveticus
GCF_013280665.1	1587	1587	Lactobacillus helveticus
GCF_003203905.1	1587	1587	Lactobacillus helveticus
GCF_013281475.1	1587	1587	Lactobacillus helveticus
GCF_002868275.1	1587	1587	Lactobacillus helveticus
GCF_013281095.1	1587	1587	Lactobacillus helveticus
GCF_013281315.1	1587	1587	Lactobacillus helveticus
GCF_015698105.1	1587	1587	Lactobacillus helveticus
GCF_002914985.1	1587	1587	Lactobacillus helveticus
GCF_002849915.1	1587	1587	Lactobacillus helveticus
GCF_013281605.1	1587	1587	Lactobacillus helveticus
GCF_013280875.1	1587	1587	Lactobacillus helveticus
GCF_003203875.1	1587	1587	Lactobacillus helveticus
GCF_017154195.1	1587	1587	Lactobacillus helveticus
GCF_015698205.1	1587	1587	Lactobacillus helveticus
GCF_013281295.1	1587	1587	Lactobacillus helveticus
GCF_018967005.1	1587	1587	Lactobacillus helveticus
GCF_013281755.1	1587	1587	Lactobacillus helveticus
GCF_013280675.1	1587	1587	Lactobacillus helveticus
GCF_013280715.1	1587	1587	Lactobacillus helveticus
GCF_013280655.1	1587	1587	Lactobacillus helveticus
GCF_003203795.1	1587	1587	Lactobacillus helveticus
GCF_013280975.1	1587	1587	Lactobacillus helveticus
GCF_003061825.1	1587	1587	Lactobacillus helveticus
GCF_001572805.1	1587	1587	Lactobacillus helveticus
GCF_013280925.1	1587	1587	Lactobacillus helveticus
GCF_003203805.1	1587	1587	Lactobacillus helveticus
GCF_013281255.1	1587	1587	Lactobacillus helveticus
GCF_013281405.1	1587	1587	Lactobacillus helveticus
GCF_013281265.1	1587	1587	Lactobacillus helveticus
GCF_013281005.1	1587	1587	Lactobacillus helveticus
GCF_013281795.1	1587	1587	Lactobacillus helveticus
GCF_013281685.1	1587	1587	Lactobacillus helveticus
GCF_002849935.1	1587	1587	Lactobacillus helveticus
GCF_003203985.1	1587	1587	Lactobacillus helveticus
GCF_011392415.1	1587	1587	Lactobacillus helveticus
GCF_003204025.1	1587	1587	Lactobacillus helveticus
GCF_013280865.1	1587	1587	Lactobacillus helveticus
GCF_011392295.1	1587	1587	Lactobacillus helveticus
GCF_013281495.1	1587	1587	Lactobacillus helveticus
GCF_009362875.1	1587	1587	Lactobacillus helveticus
GCF_011392325.1	1587	1587	Lactobacillus helveticus
GCF_013281285.1	1587	1587	Lactobacillus helveticus
GCF_013281185.1	1587	1587	Lactobacillus helveticus
GCF_011392385.1	1587	1587	Lactobacillus helveticus
GCF_002532085.1	1587	1587	Lactobacillus helveticus
GCF_013281695.1	1587	1587	Lactobacillus helveticus
GCF_013281635.1	1587	1587	Lactobacillus helveticus
GCF_003204055.1	1587	1587	Lactobacillus helveticus
GCF_013280955.1	1587	1587	Lactobacillus helveticus
GCF_003203915.1	1587	1587	Lactobacillus helveticus
GCF_015698185.1	1587	1587	Lactobacillus helveticus
GCF_013281575.1	1587	1587	Lactobacillus helveticus
GCF_013281505.1	1587	1587	Lactobacillus helveticus
GCF_013281415.1	1587	1587	Lactobacillus helveticus
GCF_013280825.1	1587	1587	Lactobacillus helveticus
GCF_018408455.1	1587	1587	Lactobacillus helveticus
GCF_003053085.1	1587	1587	Lactobacillus helveticus
GCF_011392375.1	1587	1587	Lactobacillus helveticus
GCF_001308285.1	1587	1587	Lactobacillus helveticus
GCF_013281775.1	1587	1587	Lactobacillus helveticus
GCF_001746265.1	1587	1587	Lactobacillus helveticus
GCF_003203895.1	1587	1587	Lactobacillus helveticus
GCF_013281645.1	1587	1587	Lactobacillus helveticus
GCF_015698225.1	1587	1587	Lactobacillus helveticus
GCF_003233715.1	1587	1587	Lactobacillus helveticus
GCF_013280915.1	1587	1587	Lactobacillus helveticus
GCF_015698085.1	1587	1587	Lactobacillus helveticus
GCF_015698145.1	1587	1587	Lactobacillus helveticus
GCF_013280985.1	1587	1587	Lactobacillus helveticus
GCF_013281075.1	1587	1587	Lactobacillus helveticus
GCF_013281585.1	1587	1587	Lactobacillus helveticus
GCF_002849955.1	1587	1587	Lactobacillus helveticus
GCF_013281165.1	1587	1587	Lactobacillus helveticus
GCF_013280855.1	1587	1587	Lactobacillus helveticus
GCF_003203955.1	1587	1587	Lactobacillus helveticus
GCF_013281085.1	1587	1587	Lactobacillus helveticus
GCF_013281055.1	1587	1587	Lactobacillus helveticus
GCF_000765455.1	1587	1587	Lactobacillus helveticus
GCF_013280995.1	1587	1587	Lactobacillus helveticus
GCF_003061845.1	1587	1587	Lactobacillus helveticus
GCF_015709185.1	1587	1587	Lactobacillus helveticus
GCF_003545995.1	1587	1587	Lactobacillus helveticus
GCF_000765465.1	1587	1587	Lactobacillus helveticus
GCF_018967085.1	1587	1587	Lactobacillus helveticus
GCF_013280765.1	1587	1587	Lactobacillus helveticus
GCF_009901645.1	1587	1587	Lactobacillus helveticus
GCF_013281715.1	1587	1587	Lactobacillus helveticus
GCF_013280815.1	1587	1587	Lactobacillus helveticus
GCF_000191545.1	1604	1604	Lactobacillus amylovorus
GCF_003465905.1	1604	1604	Lactobacillus amylovorus
GCF_005049155.1	1604	1604	Lactobacillus amylovorus
GCF_012843555.1	1604	1604	Lactobacillus amylovorus
GCF_902363955.1	1604	1604	Lactobacillus amylovorus
GCF_004307475.1	1604	1604	Lactobacillus amylovorus
GCF_006384175.1	1604	1604	Lactobacillus amylovorus
GCF_003436185.1	1680	1680	Bifidobacterium adolescentis
GCF_002108045.1	1680	1680	Bifidobacterium adolescentis
GCF_002108015.1	1680	1680	Bifidobacterium adolescentis
GCF_002107925.1	1680	1680	Bifidobacterium adolescentis
GCF_003468385.1	1680	1680	Bifidobacterium adolescentis
GCF_019042045.1	1680	1680	Bifidobacterium adolescentis
GCF_003458805.1	1680	1680	Bifidobacterium adolescentis
GCF_002108135.1	1680	1680	Bifidobacterium adolescentis
GCF_019131675.1	1680	1680	Bifidobacterium adolescentis
GCF_003030905.1	1680	1680	Bifidobacterium adolescentis
GCF_015553925.1	1680	1680	Bifidobacterium adolescentis
GCF_003469145.1	1680	1680	Bifidobacterium adolescentis
GCF_015553845.1	1680	1680	Bifidobacterium adolescentis
GCF_002107995.1	1680	1680	Bifidobacterium adolescentis
GCF_014524935.1	1680	1680	Bifidobacterium adolescentis
GCF_013249115.1	1680	1680	Bifidobacterium adolescentis
GCF_002108155.1	1680	1680	Bifidobacterium adolescentis
GCF_015558745.1	1680	1680	Bifidobacterium adolescentis
GCF_015555595.1	1680	1680	Bifidobacterium adolescentis
GCF_019128025.1	1680	1680	Bifidobacterium adolescentis
GCF_017815835.1	1680	1680	Bifidobacterium adolescentis
GCF_002107955.1	1680	1680	Bifidobacterium adolescentis
GCF_003437735.1	1680	1680	Bifidobacterium adolescentis
GCF_019041975.1	1680	1680	Bifidobacterium adolescentis
GCF_019042035.1	1680	1680	Bifidobacterium adolescentis
GCF_015553955.1	1680	1680	Bifidobacterium adolescentis
GCF_015548985.1	1680	1680	Bifidobacterium adolescentis
GCF_900445615.1	1680	1680	Bifidobacterium adolescentis
GCF_019041695.1	1680	1680	Bifidobacterium adolescentis
GCF_002108165.1	1680	1680	Bifidobacterium adolescentis
GCF_003437755.1	1680	1680	Bifidobacterium adolescentis
GCF_002107975.1	1680	1680	Bifidobacterium adolescentis
GCF_003466335.1	1680	1680	Bifidobacterium adolescentis
GCF_015548665.1	1680	1680	Bifidobacterium adolescentis
GCF_000737885.1	1680	1680	Bifidobacterium adolescentis
GCF_015558415.1	1680	1680	Bifidobacterium adolescentis
GCF_019127835.1	1680	1680	Bifidobacterium adolescentis
GCF_002108035.1	1680	1680	Bifidobacterium adolescentis
GCF_015554265.1	1680	1680	Bifidobacterium adolescentis
GCF_001406455.1	1680	1680	Bifidobacterium adolescentis
GCF_003437775.1	1680	1680	Bifidobacterium adolescentis
GCF_015558565.1	1680	1680	Bifidobacterium adolescentis
GCF_004167585.1	1680	1680	Bifidobacterium adolescentis
GCF_019129365.1	1680	1680	Bifidobacterium adolescentis
GCF_019127775.1	1680	1680	Bifidobacterium adolescentis
GCF_015558575.1	1680	1680	Bifidobacterium adolescentis
GCF_003856735.1	1680	1680	Bifidobacterium adolescentis
GCF_003473105.1	1680	1680	Bifidobacterium adolescentis
GCF_003472245.1	1680	1680	Bifidobacterium adolescentis
GCF_001406215.1	1680	1680	Bifidobacterium adolescentis
GCF_019127685.1	1680	1680	Bifidobacterium adolescentis
GCF_002108095.1	1680	1680	Bifidobacterium adolescentis
GCF_001010915.1	1680	1680	Bifidobacterium adolescentis
GCF_003472265.1	1680	1680	Bifidobacterium adolescentis
GCF_001406735.1	1680	1680	Bifidobacterium adolescentis
GCF_015548755.1	1680	1680	Bifidobacterium adolescentis
GCF_000817995.1	1680	1680	Bifidobacterium adolescentis
GCF_015560095.1	1680	1680	Bifidobacterium adolescentis
GCF_003472095.1	1680	1680	Bifidobacterium adolescentis
GCF_002075965.1	1680	1680	Bifidobacterium adolescentis
GCF_001756865.1	1680	1680	Bifidobacterium adolescentis
GCF_003462885.1	1680	1680	Bifidobacterium adolescentis
GCF_003429385.1	1680	1680	Bifidobacterium adolescentis
GCF_015549865.1	1680	1680	Bifidobacterium adolescentis
GCF_003457765.1	1680	1680	Bifidobacterium adolescentis
GCF_005845205.1	1680	1680	Bifidobacterium adolescentis
GCF_018785705.1	1680	1680	Bifidobacterium adolescentis
GCF_018785715.1	1680	1680	Bifidobacterium adolescentis
GCF_015547885.1	1680	1680	Bifidobacterium adolescentis
GCF_003467335.1	1680	1680	Bifidobacterium adolescentis
GCF_015557595.1	1680	1680	Bifidobacterium adolescentis
GCF_009832825.1	1680	1680	Bifidobacterium adolescentis
GCF_015552825.1	1680	1680	Bifidobacterium adolescentis
GCF_015558085.1	1680	1680	Bifidobacterium adolescentis
GCF_902386735.1	1680	1680	Bifidobacterium adolescentis
GCF_003462895.1	1680	1680	Bifidobacterium adolescentis
GCF_015557685.1	1680	1680	Bifidobacterium adolescentis
GCF_003465205.1	1680	1680	Bifidobacterium adolescentis
GCF_016069975.1	1680	1680	Bifidobacterium adolescentis
GCF_003464325.1	1680	1680	Bifidobacterium adolescentis
GCF_002108075.1	1680	1680	Bifidobacterium adolescentis
GCF_015559505.1	1680	1680	Bifidobacterium adolescentis
GCF_004799605.1	2242	2242	Halobacterium salinarum
GCF_014202515.1	2242	2242	Halobacterium salinarum
GCF_001746755.1	28181	28181	Magnetovibrio blakemorei
GCF_004363305.1	28254	28254	Marinomonas communis
GCF_001570605.1	28444	28444	Herbidospora cretacea
GCF_000719065.1	28444	28444	Herbidospora cretacea
GCF_001569395.1	28452	28452	Leptospira alstonii
GCF_001568455.1	28452	28452	Leptospira alstonii
GCF_001569445.1	28452	28452	Leptospira alstonii
GCF_014198775.1	29450	29450	Rhizobium leucaenae
GCF_001675175.1	29450	29450	Rhizobium leucaenae
GCF_014207015.1	29450	29450	Rhizobium leucaenae
GCF_002204205.1	29488	29488	Photorhabdus luminescens
GCF_000931955.2	29488	29488	Photorhabdus luminescens
GCF_002968975.1	29488	29488	Photorhabdus luminescens
GCF_002968995.1	29488	29488	Photorhabdus luminescens
GCF_002969055.1	29488	29488	Photorhabdus luminescens
GCF_002969005.1	29488	29488	Photorhabdus luminescens
GCF_900102985.1	29488	29488	Photorhabdus luminescens
GCF_000767775.1	29488	29488	Photorhabdus luminescens
GCF_013114435.1	29497	29497	Vibrio splendidus
GCF_003049975.1	29497	29497	Vibrio splendidus
GCF_002875495.1	29497	29497	Vibrio splendidus
GCF_002874795.1	29497	29497	Vibrio splendidus
GCF_002876825.1	29497	29497	Vibrio splendidus
GCF_003345295.1	29497	29497	Vibrio splendidus
GCF_001557765.1	29497	29497	Vibrio splendidus
GCF_002877225.1	29497	29497	Vibrio splendidus
GCF_002876565.1	29497	29497	Vibrio splendidus
GCF_002877315.1	29497	29497	Vibrio splendidus
GCF_002875005.1	29497	29497	Vibrio splendidus
GCF_003050145.1	29497	29497	Vibrio splendidus
GCF_001691275.1	29497	29497	Vibrio splendidus
GCF_002877345.1	29497	29497	Vibrio splendidus
GCF_003049945.1	29497	29497	Vibrio splendidus
GCF_002737025.1	29497	29497	Vibrio splendidus
GCF_002878595.1	29497	29497	Vibrio splendidus
GCF_002872775.1	29497	29497	Vibrio splendidus
GCF_001558055.1	29497	29497	Vibrio splendidus
GCF_002877195.1	29497	29497	Vibrio splendidus
GCF_003049845.1	29497	29497	Vibrio splendidus
GCF_013114445.1	29497	29497	Vibrio splendidus
GCF_003050045.1	29497	29497	Vibrio splendidus
GCF_003050505.1	29497	29497	Vibrio splendidus
GCF_002872905.1	29497	29497	Vibrio splendidus
GCF_002875395.1	29497	29497	Vibrio splendidus
GCF_002873565.1	29497	29497	Vibrio splendidus
GCF_001306215.1	29497	29497	Vibrio splendidus
GCF_900089845.1	29497	29497	Vibrio splendidus
GCF_002872895.1	29497	29497	Vibrio splendidus
GCF_002876465.1	29497	29497	Vibrio splendidus
GCF_002875585.1	29497	29497	Vibrio splendidus
GCF_002876905.1	29497	29497	Vibrio splendidus
GCF_002878555.1	29497	29497	Vibrio splendidus
GCF_002876945.1	29497	29497	Vibrio splendidus
GCF_003049865.1	29497	29497	Vibrio splendidus
GCF_003049905.1	29497	29497	Vibrio splendidus
GCF_007858915.1	29497	29497	Vibrio splendidus
GCF_002875305.1	29497	29497	Vibrio splendidus
GCF_003050465.1	29497	29497	Vibrio splendidus
GCF_002874595.1	29497	29497	Vibrio splendidus
GCF_001676015.1	29497	29497	Vibrio splendidus
GCF_003050485.1	29497	29497	Vibrio splendidus
GCF_002875095.1	29497	29497	Vibrio splendidus
GCF_003050545.1	29497	29497	Vibrio splendidus
GCF_013114425.1	29497	29497	Vibrio splendidus
GCF_001558015.1	29497	29497	Vibrio splendidus
GCF_003049855.1	29497	29497	Vibrio splendidus
GCF_003050025.1	29497	29497	Vibrio splendidus
GCF_002875225.1	29497	29497	Vibrio splendidus
GCF_003050445.1	29497	29497	Vibrio splendidus
GCF_002873485.1	29497	29497	Vibrio splendidus
GCF_002875995.1	29497	29497	Vibrio splendidus
GCF_002873645.1	29497	29497	Vibrio splendidus
GCF_018860405.1	29497	29497	Vibrio splendidus
GCF_002873735.1	29497	29497	Vibrio splendidus
GCF_002873695.1	29497	29497	Vibrio splendidus
GCF_002874335.1	29497	29497	Vibrio splendidus
GCF_003050005.1	29497	29497	Vibrio splendidus
GCF_013114485.1	29497	29497	Vibrio splendidus
GCF_002874245.1	29497	29497	Vibrio splendidus
GCF_003408655.1	29497	29497	Vibrio splendidus
GCF_002873455.1	29497	29497	Vibrio splendidus
GCF_003050405.1	29497	29497	Vibrio splendidus
GCF_001974615.1	29497	29497	Vibrio splendidus
GCF_003050165.1	29497	29497	Vibrio splendidus
GCF_002875345.1	29497	29497	Vibrio splendidus
GCF_003050285.1	29497	29497	Vibrio splendidus
GCF_003049925.1	29497	29497	Vibrio splendidus
GCF_002954555.1	29497	29497	Vibrio splendidus
GCF_003049965.1	29497	29497	Vibrio splendidus
GCF_001557875.1	29497	29497	Vibrio splendidus
GCF_002700025.1	29497	29497	Vibrio splendidus
GCF_003050205.1	29497	29497	Vibrio splendidus
GCF_003050225.1	29497	29497	Vibrio splendidus
GCF_002875045.1	29497	29497	Vibrio splendidus
GCF_002876745.1	29497	29497	Vibrio splendidus
GCF_003050425.1	29497	29497	Vibrio splendidus
GCF_002877525.1	29497	29497	Vibrio splendidus
GCF_003050175.1	29497	29497	Vibrio splendidus
GCF_003050125.1	29497	29497	Vibrio splendidus
GCF_003050345.1	29497	29497	Vibrio splendidus
GCF_002876785.1	29497	29497	Vibrio splendidus
GCF_001306195.1	29497	29497	Vibrio splendidus
GCF_003050245.1	29497	29497	Vibrio splendidus
GCF_003050305.1	29497	29497	Vibrio splendidus
GCF_018729395.1	29497	29497	Vibrio splendidus
GCF_003050255.1	29497	29497	Vibrio splendidus
GCF_002875065.1	29497	29497	Vibrio splendidus
GCF_002875085.1	29497	29497	Vibrio splendidus
GCF_002876645.1	29497	29497	Vibrio splendidus
GCF_003050385.1	29497	29497	Vibrio splendidus
GCF_003050355.1	29497	29497	Vibrio splendidus
GCF_002876045.1	29497	29497	Vibrio splendidus
GCF_003050315.1	29497	29497	Vibrio splendidus
GCF_001281525.1	33935	33935	Lysinibacillus macroides
GCF_003413715.1	33936	33936	Aeribacillus pallidus
GCF_000948185.1	33936	33936	Aeribacillus pallidus
GCF_001629795.1	33936	33936	Aeribacillus pallidus
GCF_004210355.1	33936	33936	Aeribacillus pallidus
GCF_001624605.1	33936	33936	Aeribacillus pallidus
GCF_002243625.1	33936	33936	Aeribacillus pallidus
GCF_002243665.1	33938	33938	Geobacillus thermocatenulatus
GCF_002217655.1	33938	33938	Geobacillus thermocatenulatus
GCF_001283085.1	35817	35817	Helicobacter heilmannii
GCF_001283005.1	35817	35817	Helicobacter heilmannii
GCF_017979395.1	35817	35817	Helicobacter heilmannii
GCF_001282965.1	35817	35817	Helicobacter heilmannii
GCF_001283065.1	35817	35817	Helicobacter heilmannii
GCF_900197735.1	35817	35817	Helicobacter heilmannii
GCF_900197785.1	35817	35817	Helicobacter heilmannii
GCF_001283045.1	35817	35817	Helicobacter heilmannii
